TEAM,GP,W,L,WIN%,MIN,PTS,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,OREB,DREB,REB,AST,TOV,STL,BLK,BLKA,PF,PFD,+/-,SEASON,CHAMPION
Chicago Bulls,16,9,7,0.563,48.3,92.5,34,80.6,42.2,6.3,19.2,32.9,18.2,23.2,78.4,13.4,30.2,43.6,20.1,13.6,7.3,6.6,6.4,21.3,19.6,4.3,2011,0
Boston Celtics,9,5,4,0.556,48.6,94.7,35.8,76.9,46.5,7.4,16,46.5,15.7,20.1,77.9,8.9,30.1,39,21,15.7,7.3,4.2,6.4,21.9,19.7,1.3,2011,0
Memphis Grizzlies,13,7,6,0.538,49.9,98.6,36.7,84,43.7,3.8,12.1,31.8,21.4,28.2,76,12.5,30.6,43.1,18.8,13.1,8,6,6.8,23.6,23.7,-0.7,2011,0
Oklahoma City Thunder,17,9,8,0.529,49.5,102.5,35.3,79.7,44.3,6.3,19.9,31.6,25.6,31.4,81.6,13.1,32.9,45.9,17.6,15.4,6.8,7.6,5.2,25,23.1,1.9,2011,0
Atlanta Hawks,12,6,6,0.5,48,86.3,32.9,75.8,43.4,4.5,13.9,32.3,15.9,21.9,72.6,9,28.2,37.2,18.1,12.4,6.3,5,5.3,20.3,20,-4.4,2011,0
Los Angeles Lakers,10,4,6,0.4,48,93.2,34.7,77.8,44.6,4.8,16.6,28.9,19,24.5,77.6,12.6,28.3,40.9,18.9,12.5,6.9,5.1,3.7,20.6,21.6,-1.3,2011,0
New Orleans Hornets,6,2,4,0.333,48,89.3,32.8,71.8,45.7,4.5,14,32.1,19.2,25.8,74.2,7.7,25.8,33.5,20.2,12.8,7.2,3,5.8,23.7,21.2,-7.2,2011,0
Orlando Magic,6,2,4,0.333,48,88.7,31,75.8,40.9,6.2,23.5,26.2,20.5,27.8,73.7,11.8,30.5,42.3,14.5,12.8,6.5,4,3.8,21.5,24.2,1.8,2011,0
Portland Trail Blazers,6,2,4,0.333,48,88.2,33.2,73.2,45.3,5,16.7,30,16.8,21.5,78.3,9.2,28.5,37.7,17,11.5,5.7,5.2,3.7,20.8,19.5,-5.2,2011,0
San Antonio Spurs,6,2,4,0.333,48.8,94.3,33.7,77.2,43.6,5.3,18.2,29.4,21.7,28.5,76,10.2,31.5,41.7,17.8,14.3,7.3,5.8,4.8,21.5,24.5,-3.2,2011,0
Indiana Pacers,5,1,4,0.2,48,90.2,32.8,80.2,40.9,5.8,15.4,37.7,18.8,24.4,77,13,25.4,38.4,16,15.2,8.2,5.6,7.6,23,22.2,-7.4,2011,0
Denver Nuggets,5,1,4,0.2,48,97.4,32.6,77,42.3,6.8,18.4,37,25.4,36,70.6,7.4,30.6,38,17.6,12.2,6.6,3.6,8.6,23.8,25,-4.8,2011,0
Philadelphia 76ers,5,1,4,0.2,48,86.6,33.8,81.6,41.4,6.4,16.4,39,12.6,17.4,72.4,10.6,30,40.6,20.4,10.6,6.4,3.6,6.2,20.4,14.8,-7.4,2011,0
New York Knicks,4,0,4,0,48,90.8,32,83,38.6,8.3,23.8,34.7,18.5,24.8,74.7,14.5,26,40.5,16.8,15.3,6.5,6.8,5,18.8,21,-8.5,2011,0
Orlando Magic,14,10,4,0.714,48.4,96.6,32.8,70.8,46.3,9.9,26.9,36.6,21.1,30.1,70.1,9.3,31.1,40.4,16.9,13.7,6.4,5.5,3.8,22.4,26.1,8.6,2010,0
Los Angeles Lakers,23,16,7,0.696,48,101.1,37.3,81.2,46,6.8,20.7,33,19.6,26,75.4,12.8,30.1,42.9,19.7,12.5,6.7,6.2,4.8,23.2,23.3,3.8,2010,1
Phoenix Suns,16,10,6,0.625,48,107.1,38,79.6,47.7,9.4,24.4,38.4,21.8,28.1,77.3,10.7,29.4,40.1,20.8,12.6,5.9,4.1,5.2,22.4,23.3,4.6,2010,0
Boston Celtics,24,15,9,0.625,48.2,93.9,34.3,75.7,45.3,5.8,16,36.3,19.5,25.8,75.5,8.8,30.3,39.1,21.1,13.9,8,4.6,5.4,24.6,22.7,2.8,2010,0
Cleveland Cavaliers,11,6,5,0.545,48,100.2,34.9,74.5,46.9,7.2,20.6,34.8,23.2,31.3,74.1,8.6,31.1,39.7,21.1,14.9,6.1,6.6,4.2,21.9,24.5,1.3,2010,0
Milwaukee Bucks,7,3,4,0.429,48,90,33.7,79.6,42.4,6.6,21.3,30.9,16,19.9,80.6,11.1,28,39.1,16.3,12.4,6.3,3.3,6.9,21,19.1,-3.7,2010,0
Utah Jazz,10,4,6,0.4,48,107.1,38.1,79.5,47.9,6.5,17.4,37.4,24.4,33.5,72.8,10.9,28.7,39.6,23.8,13.2,5.9,4.4,5.8,27,27.2,-2.2,2010,0
San Antonio Spurs,10,4,6,0.4,48,96.1,36.4,78.5,46.4,4.8,14.2,33.8,18.5,26.6,69.5,10.1,31,41.1,19.2,12.7,6.8,4.3,4.5,21,22.6,-3.4,2010,0
